topic,cluster_id,cluster_label,cluster_description
anti-corruption strategy,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
corporate lobbying,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
corruption,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
corruption in eu,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
democratic backsliding,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
eu budget management,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
eu corruption,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
eu fund fraud,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
ethical oversight,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
excessive regulation,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
exclusion from debate,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
hungary eu role,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
information review,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
meeting management,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
parliamentary corruption,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
parliamentary deadline,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
parliamentary integrity,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
parliamentary procedure,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
right-wing extremism,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
rule of law,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
rules,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
scientific fraud,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
session interruption,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
session resumption,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
speaker list management,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
the vote,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
vote,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
voting,0,EU Governance & Rule of Law,"Focuses on the internal functioning of EU institutions, upholding democratic principles, managing the EU budget, and combating corruption within the Union."
banking regulation,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
corporate due diligence,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
corporate responsibility,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
cryptocurrency regulation,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
digital euro,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
economic regulation,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
eu budget,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
eu competitiveness,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
eu debt,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
eu financial integration,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
eu fiscal rules,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
european competitiveness,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
european internal market,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
eurozone fiscal rules,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
financial system reform,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
foreign direct investment,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
inflation,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
middle class crisis,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
speculation tax,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
tax evasion,1,"Economy, Finance & Competitiveness","Addresses economic policy, financial market stability, budget management, competitiveness, and fiscal matters within the EU."
2030 agenda,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
carbon border adjustment mechanism,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
carbon pricing,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
climate and energy policy,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
combustion engine ban,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
decarbonization,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
electricity market reform,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
emission trading,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
energy security,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
energy union,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
environmental protection,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
nuclear energy,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
plastic waste export,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
river pollution,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
wolf management,2,"Climate, Energy & Environment","Covers policies related to climate action, renewable energy, energy security, environmental protection, and sustainable development goals."
bulgarian community autonomy,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
consumer information,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
food security,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
